Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
1987,2396629,48941,42413,------,92806,41251,132804,166745,86861,67655,125019,236350,121529,99948,54041,133597,103377,62308,170677,64305,80493,109032,137529,95542,123406
1992,2223476,37802,43320,------,83232,37320,126981,157505,80241,59389,123762,222768,110699,97312,44623,131283,82470,54459,165349,55657,77491,109108,123932,91254,107519
1997,2193063,43944,36438,------,79479,35274,112545,167871,86419,56648,122443,218044,111829,94806,41501,117905,79268,49257,166756,56424,71920,111144,126467,92057,114624
2002,2077630,39379,35218,------,71227,30032,114843,147252,77089,52056,125385,195827,101444,81409,37582,117372,75077,45462,155566,56650,68153,105729,125159,88470,131249
2007,2051756,36643,29244,------,78282,26443,131277,141934,85026,52147,133188,202087,95514,75166,29371,128220,67613,37005,146927,60255,68648,109002,114065,92852,110847
