admin1,total_protests
Alborz,76
Ardabil,24
Bushehr,44
Chaharmahal and Bakhtiari,10
East Azerbaijan,57
Fars,69
Gilan,74
Golestan,25
Hamadan,33
Hormozgan,62
Ilam,43
Isfahan,153
Kerman,36
Kermanshah,77
Khuzestan,104
Kohgiluyeh and Boyer-Ahmad,25
Kurdistan,196
Lorestan,34
Markazi,41
Mazandaran,72
North Khorasan,9
Qazvin,39
Qom,27
Razavi Khorasan,89
Semnan,18
Sistan and Baluchestan,132
South Khorasan,5
Tehran,665
West Azerbaijan,121
Yazd,42
Zanjan,19
